ID,CSM67U9H_P,CSM67U9H,CSM67UB9_P,CSM67UB9,CSM67UEW_P,CSM67UEW,CSM67UF1_P,CSM67UF1,CSM79HGF_P,CSM79HGF,CSM79HHW_P,CSM79HHW,HSM5MD43_P,HSM5MD43,HSM5MD5B_P,HSM5MD5B,HSM5MD5D_P,HSM5MD5D,HSM5MD6I_P,HSM5MD6I,HSM5MD6K_P,HSM5MD6K,HSM67VDT_P,HSM67VDT,HSM67VFX_P,HSM67VFX,HSM67VGA_P,HSM67VGA,HSM6XRQB_P,HSM6XRQB,HSM6XRSX_P,HSM6XRSX,HSM6XRTG_P,HSM6XRTG,MSM6J2M3_P,MSM6J2M3,PSM6XBRK_P,PSM6XBRK,PSM6XBS4_P,PSM6XBS4,PSM6XBSE_P,PSM6XBSE,PSM7J13Y_P,PSM7J13Y
Faecalibacterium_prausnitzii,2.32063,2.11547,3.68485,3.10404,39.73184,39.16168,11.16682,10.23214,13.74055,10.28856,0.74795,0.74174,21.89817,19.01144,19.26586,15.73824,21.21378,24.63451,13.49964,13.12699,19.12706,22.25916,1.75803,1.28601,32.68166,28.67571,10.14762,10.42171,0.07935,0.07112,7.36923,7.1617,20.71717,17.76874,18.01107,14.86282,6.03699,4.13495,41.88792,32.82799,17.04228,24.0928,7.5515,9.00474
Bacteroides_ovatus,1.00774,1.00961,37.45297,42.87102,0.09215,0.08331,1.1566,1.36681,2.92848,3.09989,23.70084,22.63413,29.44368,24.42478,0.83255,0.87926,1.83243,2.08454,5.67179,6.56663,4.86451,4.51715,2.03965,2.59109,1.14038,1.40312,0.56295,0.48502,30.48794,27.71755,1.50744,1.39579,0.02525,0.00799,1.01572,1.19052,5.57037,4.92281,0.58563,0.60329,2.8258,0.83385,12.8237,12.84629
Subdoligranulum_unclassified,0.12089,0.314,0.82915,0.30679,0.67986,0.97463,0.87451,0.94554,7.39935,6.4511,4.99845,5.19305,0.78013,3.12306,4.17632,8.95246,3.68097,3.83163,0.65096,0.74604,1.05679,1.12413,1.96587,1.41063,6.41438,5.16155,1.03979,1.48506,10.80164,7.67705,9.07326,8.44265,1.24739,1.12857,4.73037,4.80355,0.32781,0.18723,0.09644,0.17228,4.11173,2.7269,0.08991,0.06065
Ruminococcus_obeum,0.03121,0.04263,0.04592,0.02565,0.69454,0.9234,0.787,1.13997,0.17712,0.22945,0,0,0.02589,0.0628,0.02683,0.19445,0.04356,0.02999,0.06373,0.09712,0.11157,0.12315,0.09253,0.07446,0.06183,0.03243,0.09201,0.12093,0.09906,0.07947,0.06453,0.04855,0.00425,0.00239,0.4527,0.44569,0.14248,0.03202,1.27407,1.30224,0.58183,1.18278,0.00237,0.00042
Bacteroides_uniformis,0.55662,0.6125,21.51993,19.65479,3.57231,3.9763,4.90737,4.73191,18.2744,17.76068,0,0,12.72264,14.93681,7.19744,3.87875,3.5922,3.34661,0.00073,0,0.00057,0.00674,6.16724,6.24987,6.32887,7.15217,7.59226,6.62541,2.8694,5.85748,4.60194,4.71355,2.22096,2.20541,4.51543,4.82889,0.28123,0.75364,4.06002,3.78197,1.76254,0.51214,1.25346,1.27586
Oscillibacter_unclassified,0.61667,0.77023,0.22436,0.12264,0.06612,0.0775,0.16642,0.14275,4.78528,5.21921,0.16894,0.08703,0.10962,0.08106,0.12679,0.17935,0.3253,0.55727,0.26617,0.30362,0.17313,0.22926,0.25739,0.45508,0.02711,1.08173,1.52561,2.01096,0.2068,0.29256,0.74249,0.68642,0.54591,0.74929,0.05895,0.06819,0.06042,0.01865,0.05858,0.03934,0,0,0.43007,0
Ruminococcus_torques,0.13693,0.12345,0.03109,0,1.00911,0.94161,1.07284,1.05066,0.33519,0,0.76835,0.55896,0.08162,1.1831,0.29188,0.27796,0.10343,0.33829,0.06547,0.1028,0.087,0.09921,0.09423,0.16584,0.47283,0.35977,0.13907,0.47572,2.74433,2.18421,0.19948,0.0656,0,0.09983,0.37668,0.52433,0.07021,0.10717,0.25226,0.18268,0.35946,0.57807,0.0673,0.01229
Bacteroides_stercoris,0.21543,0.30316,0.23082,0.28742,4.47976,7.69344,13.20102,14.38948,3.25384,3.26808,0,0,16.92778,16.39165,1.22202,1.04143,0.65672,0.64515,44.45132,40.68411,35.34351,32.70024,40.56654,41.13562,1.78709,1.85827,0.19031,0.12956,0.00155,0,1.62986,1.92613,0.51187,0.38115,3.64082,3.95121,16.76845,12.84926,7.55777,7.14249,0.03796,0,16.65706,15.16242
Roseburia_inulinivorans,0.0413,0.00985,0,0,0.13115,0.14691,0.008,0,0.10374,0.10779,0.01001,0,0.10256,0.1068,0.49209,0.60196,0.04663,0.03667,0.15945,0.16125,0.41424,0.43042,0.00622,0.00729,0.19438,0.20426,0.10729,0.17313,6.55101,4.65578,0.03887,0.03165,0.05033,0.0571,0.03709,0.06129,1.52977,0.94097,2.23941,2.11327,4.75671,5.47431,0.96943,0.75046
Bacteroides_vulgatus,0.15299,0.59964,10.14125,8.44162,1.5696,2.11515,4.74505,5.05514,0.60282,0.61505,0,0.00633,0.00396,0,2.99055,1.16844,5.89768,5.35049,0.00484,0,0.00488,0,9.919,11.16418,6.39748,6.97424,6.37616,5.49044,1.80454,2.36971,6.14663,5.27956,1.10138,1.38364,1.65061,1.86728,8.26746,27.43823,3.34712,10.88752,5.25578,4.82004,0.00869,0
Eubacterium_rectale,21.66203,22.85233,0,0,0.137,0.14058,0.20815,0.22311,9.85609,13.63473,2.96101,3.07698,0.91511,1.54828,2.77901,2.91396,2.8004,4.84549,3.94188,9.83226,3.8729,5.90048,1.4324,1.51269,4.16779,5.40991,0,0,0.20312,0.02536,2.40291,3.05112,0,0,5.58976,5.41943,2.79387,3.14359,14.28015,16.50469,9.76366,15.80623,1.25537,1.21871
Dorea_longicatena,0.02088,0.01636,0,0,0.17617,0.26773,0.37489,0.55632,0.0054,0.02051,0,0,0.08567,0.1901,0.12263,0.55138,0.25712,0.33225,0.07667,0.1411,0.18625,0.26626,0.07023,0.05032,0.59304,0.64141,0.07569,0.11936,0.12033,0.14197,0.48692,0.53904,0.01187,0.01509,0.03983,0.06913,0.13178,0.28817,1.4355,2.19826,0.03341,0.08348,0,0
